person_id,assembly_id,party_from_id,party_to_id,party_from_name,party_to_name,source_ids
TNP-00456,NCA-2011,PTY-CPR,PTY-ETTAKATOL,Congrès pour la république,Forum démocratique pour le travail et les libertés,MARSAD_ANC
TNP-00457,NCA-2011,,PTY-6be99d2e724f,"Pétition populaire pour la liberté, la justice et le développement",Mouvement de la République,MARSAD_ANC
TNP-00463,NCA-2011,,PTY-52f9f25821ab,Parti néo-destour,Parti El Amen,MARSAD_ANC
TNP-00464,NCA-2011,PTY-CPR,PTY-a8c344e9039d,Congrès pour la république,Mouvement Wafa,MARSAD_ANC
TNP-00465,NCA-2011,,PTY-bbfe9bb6d793,"Pétition populaire pour la liberté, la justice et le développement",La Voix du Peuple de Tunisie,MARSAD_ANC
TNP-00468,NCA-2011,PTY-CPR,PTY-NIDAA,Congrès pour la république,Nidaa Tounes,MARSAD_ANC
TNP-00469,NCA-2011,PTY-ETTAKATOL,PTY-ac4a3d2a8128,Forum démocratique pour le travail et les libertés,Al Massar,MARSAD_ANC
TNP-00473,NCA-2011,,,Parti démocratique progressiste,Al Jomhouri,MARSAD_ANC
TNP-00474,NCA-2011,PTY-ETTAKATOL,PTY-ac4a3d2a8128,Forum démocratique pour le travail et les libertés,Al Massar,MARSAD_ANC
TNP-00476,NCA-2011,,PTY-a8c344e9039d,"Pétition populaire pour la liberté, la justice et le développement",Mouvement Wafa,MARSAD_ANC
TNP-00479,NCA-2011,,PTY-509dbc650cec,L'Initiative,Parti l'initiative,MARSAD_ANC
TNP-00480,NCA-2011,PTY-ETTAKATOL,PTY-NIDAA,Forum démocratique pour le travail et les libertés,Nidaa Tounes,MARSAD_ANC
TNP-00481,NCA-2011,,PTY-7ad4295a0093,"Pétition populaire pour la liberté, la justice et le développement",Courant de l'amour,MARSAD_ANC
TNP-00482,NCA-2011,,PTY-bb9202bb86da,Parti communiste des ouvriers de Tunisie,Parti des travailleurs,MARSAD_ANC
TNP-00483,NCA-2011,,PTY-e5c16bf2604d,Mouvement Nahdha,Parti de la Construction Patriotique,MARSAD_ANC
TNP-00487,NCA-2011,PTY-INDEPENDENT,PTY-a49b95b8bbb3,Indépendant,Front National Tunisien,MARSAD_ANC
TNP-00489,NCA-2011,,,Parti démocratique progressiste,Al Jomhouri,MARSAD_ANC
TNP-00490,NCA-2011,,PTY-5a1bda8022f4,Parti libéral maghrébin,Parti Républicain Maghrébin,MARSAD_ANC
TNP-00491,NCA-2011,PTY-ETTAKATOL,PTY-ac4a3d2a8128,Forum démocratique pour le travail et les libertés,Al Massar,MARSAD_ANC
TNP-00493,NCA-2011,PTY-MDS,PTY-INDEPENDENT,Mouvement des démocrates socialistes,Indépendant,MARSAD_ANC
TNP-00498,NCA-2011,PTY-INDEPENDENT,PTY-CPR,Indépendant,Congrès pour la république,MARSAD_ANC
TNP-00503,NCA-2011,,PTY-52f9f25821ab,"Pétition populaire pour la liberté, la justice et le développement",Parti El Amen,MARSAD_ANC
TNP-00504,NCA-2011,PTY-INDEPENDENT,PTY-e34601720a98,Indépendant,Mouvement Tunisien pour la Liberté et la Dignité,MARSAD_ANC
TNP-00506,NCA-2011,,PTY-ac4a3d2a8128,Pôle démocratique moderniste,Al Massar,MARSAD_ANC
TNP-00507,NCA-2011,PTY-CPR,PTY-a8c344e9039d,Congrès pour la république,Mouvement Wafa,MARSAD_ANC
TNP-00508,NCA-2011,,PTY-20b849ddfcb3,Parti démocratique progressiste,Alliance Démocratique,MARSAD_ANC
TNP-00509,NCA-2011,,PTY-61a3f228649f,Parti démocratique progressiste,Parti de la réforme et du développement,MARSAD_ANC
TNP-00511,NCA-2011,,PTY-20b849ddfcb3,Parti démocratique progressiste,Alliance Démocratique,MARSAD_ANC
TNP-00512,NCA-2011,,,Parti démocratique progressiste,Al Jomhouri,MARSAD_ANC
TNP-00514,NCA-2011,,PTY-20b849ddfcb3,Parti démocratique progressiste,Alliance Démocratique,MARSAD_ANC
TNP-00515,NCA-2011,,PTY-INDEPENDENT,Parti démocratique progressiste,Indépendant,MARSAD_ANC
TNP-00516,NCA-2011,,PTY-7ad4295a0093,"Pétition populaire pour la liberté, la justice et le développement",Courant de l'amour,MARSAD_ANC
TNP-00517,NCA-2011,PTY-INDEPENDENT,PTY-20b849ddfcb3,Indépendant,Alliance Démocratique,MARSAD_ANC
TNP-00518,NCA-2011,,PTY-NIDAA,"Pétition populaire pour la liberté, la justice et le développement",Nidaa Tounes,MARSAD_ANC
TNP-00519,NCA-2011,PTY-CPR,PTY-INDEPENDENT,Congrès pour la république,Indépendant,MARSAD_ANC
TNP-00277,NCA-2011,,PTY-509dbc650cec,L'Initiative,Parti l'initiative,MARSAD_ANC
TNP-00520,NCA-2011,,PTY-INDEPENDENT,Parti de la justice et l'égalité,Indépendant,MARSAD_ANC
TNP-00522,NCA-2011,,PTY-INDEPENDENT,Parti républicain pour la liberté et la justice,Indépendant,MARSAD_ANC
TNP-00524,NCA-2011,,PTY-20b849ddfcb3,Parti démocratique progressiste,Alliance Démocratique,MARSAD_ANC
TNP-00525,NCA-2011,PTY-ECHAAB,PTY-cb447bb1247c,Mouvement du peuple,Courant Populaire,MARSAD_ANC
TNP-00527,NCA-2011,,PTY-52f9f25821ab,"Pétition populaire pour la liberté, la justice et le développement",Parti El Amen,MARSAD_ANC
TNP-00289,NCA-2011,PTY-38284180d037,PTY-38284180d037,Mouvement des patriotes démocrates,Mouvement des Patriotes Démocrates,MARSAD_ANC
TNP-00529,NCA-2011,,PTY-INDEPENDENT,L'Initiative,Indépendant,MARSAD_ANC
TNP-00534,NCA-2011,,PTY-INDEPENDENT,"Pétition populaire pour la liberté, la justice et le développement",Indépendant,MARSAD_ANC
TNP-00535,NCA-2011,,,Parti démocratique progressiste,Al Jomhouri,MARSAD_ANC
TNP-00536,NCA-2011,,PTY-ac4a3d2a8128,Pôle démocratique moderniste,Al Massar,MARSAD_ANC
TNP-00539,NCA-2011,,PTY-20b849ddfcb3,Parti démocratique progressiste,Alliance Démocratique,MARSAD_ANC
TNP-00542,NCA-2011,PTY-CPR,PTY-efb0809dca6b,Congrès pour la république,Courant Démocratique,MARSAD_ANC
TNP-00544,NCA-2011,,PTY-9b0efa626777,l'Union Patriotique Libre,Union Patriotique Libre,MARSAD_ANC
TNP-00007,NCA-2011,,PTY-2b6219e30267,Parti de la lutte progressiste,Parti Populaire Progressiste,MARSAD_ANC
TNP-00549,NCA-2011,PTY-CPR,PTY-efb0809dca6b,Congrès pour la république,Courant Démocratique,MARSAD_ANC
TNP-00551,NCA-2011,PTY-INDEPENDENT,PTY-bbfe9bb6d793,Indépendant,La Voix du peuple de Tunisie,MARSAD_ANC
TNP-00332,NCA-2011,PTY-CPR,PTY-efb0809dca6b,Congrès pour la république,Courant Démocratique,MARSAD_ANC
TNP-00554,NCA-2011,PTY-CPR,PTY-INDEPENDENT,Congrès pour la république,Indépendant,MARSAD_ANC
TNP-00561,NCA-2011,,PTY-e5c16bf2604d,Mouvement Nahdha,Parti de la Construction Patriotique,MARSAD_ANC
TNP-00565,NCA-2011,PTY-MDS,PTY-ac4a3d2a8128,Mouvement des démocrates socialistes,Al Massar,MARSAD_ANC
TNP-00566,NCA-2011,PTY-ECHAAB,PTY-cb447bb1247c,Mouvement du peuple,Courant Populaire,MARSAD_ANC
TNP-00567,NCA-2011,PTY-ETTAKATOL,PTY-INDEPENDENT,Forum démocratique pour le travail et les libertés,Indépendant,MARSAD_ANC
