affiliation_id,person_id,party_id,start_date,end_date,role,source_ids
AFF-3c7049774827,TNP-00174,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-d1e8b47bd16b,TNP-00459,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-60e8cdccf641,TNP-00460,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-1b056a5526a4,TNP-00461,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-ab6e34a38bd8,TNP-00462,PTY-ETTAKATOL,,,,MARSAD_ANC
AFF-46d2a20f7e8f,TNP-00463,PTY-52f9f25821ab,,,,MARSAD_ANC
AFF-51bbc8715adf,TNP-00464,PTY-a8c344e9039d,,,,MARSAD_ANC
AFF-564dc6bc58ac,TNP-00465,PTY-bbfe9bb6d793,,,,MARSAD_ANC
AFF-66f374e42ce7,TNP-00466,PTY-CPR,,,,MARSAD_ANC
AFF-4cfb2394cdf3,TNP-00467,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-096216fa9502,TNP-00468,PTY-NIDAA,,,,MARSAD_ANC
AFF-bc7a6453b73b,TNP-00469,PTY-ac4a3d2a8128,,,,MARSAD_ANC
AFF-5f4f049e29bf,TNP-00470,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-1b9db37e3010,TNP-00471,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-4c13e4eccc65,TNP-00472,PTY-CPR,,,,MARSAD_ANC
AFF-59e5a21f5302,TNP-00473,PTY-JOMHOURI,,,,MARSAD_ANC
AFF-8e2b8323c8b7,TNP-00474,PTY-ac4a3d2a8128,,,,MARSAD_ANC
AFF-0b5fb645f81c,TNP-00475,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-33dc2a1d6126,TNP-00476,PTY-a8c344e9039d,,,,MARSAD_ANC
AFF-f30c204e296e,TNP-00477,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-009d7532fa31,TNP-00478,PTY-CPR,,,,MARSAD_ANC
AFF-33aa4aed20ed,TNP-00479,PTY-509dbc650cec,,,,MARSAD_ANC
AFF-bb3dd3e36b5f,TNP-00480,PTY-NIDAA,,,,MARSAD_ANC
AFF-1498a0f90a9b,TNP-00481,PTY-7ad4295a0093,,,,MARSAD_ANC
AFF-d0cf571e31c2,TNP-00482,PTY-bb9202bb86da,,,,MARSAD_ANC
AFF-46500c7e49c9,TNP-00199,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-9377f0d2f7a6,TNP-00483,PTY-e5c16bf2604d,,,,MARSAD_ANC
AFF-ec7d1d5d4989,TNP-00484,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-fe30508d226d,TNP-00485,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-69b6a05b38df,TNP-00486,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-b2f2694e73a6,TNP-00487,PTY-a49b95b8bbb3,,,,MARSAD_ANC
AFF-2a175add5af8,TNP-00488,PTY-INDEPENDENT,,,,MARSAD_ANC
AFF-fe737ef19cd3,TNP-00489,PTY-JOMHOURI,,,,MARSAD_ANC
AFF-18483f7a1de5,TNP-00490,PTY-5a1bda8022f4,,,,MARSAD_ANC
AFF-1fdf6af436db,TNP-00491,PTY-ac4a3d2a8128,,,,MARSAD_ANC
AFF-64cd20a1f0a1,TNP-00492,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-1094d45bf421,TNP-00493,PTY-INDEPENDENT,,,,MARSAD_ANC
AFF-f77d994b50a1,TNP-00494,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-298733ea6cd0,TNP-00495,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-f5960dc4732c,TNP-00496,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-e36df15cd729,TNP-00497,PTY-ETTAKATOL,,,,MARSAD_ANC
AFF-f98847c0078b,TNP-00247,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-0ea6becff65d,TNP-00498,PTY-CPR,,,,MARSAD_ANC
AFF-1e2015847b8d,TNP-00499,PTY-CPR,,,,MARSAD_ANC
AFF-fb9bd9f002e6,TNP-00500,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-e272f71930c4,TNP-00501,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-b51cc5307ab2,TNP-00502,PTY-ETTAKATOL,,,,MARSAD_ANC
AFF-a9e8ed9c1c13,TNP-00503,PTY-52f9f25821ab,,,,MARSAD_ANC
AFF-7f8732fb0df7,TNP-00504,PTY-e34601720a98,,,,MARSAD_ANC
AFF-0603b46dfe51,TNP-00505,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-75aec6eb0bd8,TNP-00506,PTY-ac4a3d2a8128,,,,MARSAD_ANC
AFF-32be049b9bc3,TNP-00507,PTY-a8c344e9039d,,,,MARSAD_ANC
AFF-99c20fbf31eb,TNP-00508,PTY-20b849ddfcb3,,,,MARSAD_ANC
AFF-9e08c144c431,TNP-00509,PTY-61a3f228649f,,,,MARSAD_ANC
AFF-e444e30bc717,TNP-00510,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-85ed52d33386,TNP-00511,PTY-20b849ddfcb3,,,,MARSAD_ANC
AFF-ef1574089825,TNP-00512,PTY-JOMHOURI,,,,MARSAD_ANC
AFF-7c675865f666,TNP-00513,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-b292831452f5,TNP-00514,PTY-20b849ddfcb3,,,,MARSAD_ANC
AFF-c5b4f3afa1b4,TNP-00515,PTY-INDEPENDENT,,,,MARSAD_ANC
AFF-95966e4073fc,TNP-00516,PTY-7ad4295a0093,,,,MARSAD_ANC
AFF-ab8625064f48,TNP-00517,PTY-20b849ddfcb3,,,,MARSAD_ANC
AFF-a75da9e2434e,TNP-00518,PTY-NIDAA,,,,MARSAD_ANC
AFF-54ec0c90e58d,TNP-00519,PTY-INDEPENDENT,,,,MARSAD_ANC
AFF-81ba130aa692,TNP-00277,PTY-509dbc650cec,,,,MARSAD_ANC
AFF-adfda3e60dcf,TNP-00520,PTY-INDEPENDENT,,,,MARSAD_ANC
AFF-3c4839b33b37,TNP-00521,PTY-INDEPENDENT,,,,MARSAD_ANC
AFF-b064da1b0ce9,TNP-00522,PTY-INDEPENDENT,,,,MARSAD_ANC
AFF-a1ce2d36f9fe,TNP-00523,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-0bbdae1d08b3,TNP-00524,PTY-20b849ddfcb3,,,,MARSAD_ANC
AFF-c67b6b1dea38,TNP-00525,PTY-cb447bb1247c,,,,MARSAD_ANC
AFF-c4d26e286903,TNP-00526,PTY-ETTAKATOL,,,,MARSAD_ANC
AFF-2f0fb109f150,TNP-00527,PTY-52f9f25821ab,,,,MARSAD_ANC
AFF-79147d5df9eb,TNP-00528,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-f91688566721,TNP-00289,PTY-38284180d037,,,,MARSAD_ANC
AFF-a264acf4b332,TNP-00529,PTY-INDEPENDENT,,,,MARSAD_ANC
AFF-d656c12e3d98,TNP-00530,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-5fd40422a691,TNP-00531,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-bee0e674c8d5,TNP-00532,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-a6e4c6127d75,TNP-00533,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-8d305c87366c,TNP-00534,PTY-INDEPENDENT,,,,MARSAD_ANC
AFF-dc449e1ebc4a,TNP-00535,PTY-JOMHOURI,,,,MARSAD_ANC
AFF-a5587b5a6594,TNP-00301,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-4d367a983d0b,TNP-00536,PTY-ac4a3d2a8128,,,,MARSAD_ANC
AFF-0ead275334cd,TNP-00537,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-529b30672f27,TNP-00538,PTY-ENNAHDHA,,,,MARSAD_ANC
