person_id,assembly_id,plenary_attendance_rate,plenary_denominator,committee_attendance_rate,committee_denominator,vote_participation_rate,vote_denominator,vote_discipline_rate,n_written_questions,n_oral_questions,source_ids
TNP-00144,ARP-2023,,,,,,,,169,,ARP_ODOO
TNP-00145,ARP-2023,,,,,,,,20,,ARP_ODOO
TNP-00146,ARP-2023,,,,,,,,59,,ARP_ODOO
TNP-00147,ARP-2023,,,,,,,,26,,ARP_ODOO
TNP-00148,ARP-2023,,,,,,,,6,,ARP_ODOO
TNP-00149,ARP-2023,,,,,,,,30,,ARP_ODOO
TNP-00150,ARP-2023,,,,,,,,84,,ARP_ODOO
TNP-00151,ARP-2023,,,,,,,,81,,ARP_ODOO
TNP-00152,ARP-2023,,,,,,,,199,,ARP_ODOO
TNP-00153,ARP-2023,,,,,,,,149,,ARP_ODOO
TNP-00154,ARP-2023,,,,,,,,27,,ARP_ODOO
TNP-00156,ARP-2019,0.6726,113,0.3333,51,0.8060,335,0.7612,,,MARSAD_MAJLES
TNP-00157,ARP-2019,0.8661,112,0.5690,58,0.9224,335,0.8060,,,MARSAD_MAJLES
TNP-00158,ARP-2019,0.8407,113,,,0.5672,335,0.3821,,,MARSAD_MAJLES
TNP-00159,ARP-2019,0.8496,113,0.8197,61,0.9522,335,0.8388,,,MARSAD_MAJLES
TNP-00080,ARP-2019,0.9735,113,0.9804,51,0.8985,335,0.8119,,,MARSAD_MAJLES
TNP-00160,ARP-2019,0.6903,113,0.4286,63,0.7522,335,0.7164,,,MARSAD_MAJLES
TNP-00161,ARP-2019,0.8304,112,0.6000,65,0.7701,335,0.6985,,,MARSAD_MAJLES
TNP-00162,ARP-2019,0.8053,113,1.0000,17,0.7493,335,0.7075,,,MARSAD_MAJLES
TNP-00163,ARP-2019,0.8496,113,,,0.7254,335,0.1791,,,MARSAD_MAJLES
TNP-00164,ARP-2019,0.5893,112,0.6000,65,0.3224,335,0.2358,,,MARSAD_MAJLES
TNP-00165,ARP-2019,0.6339,112,0.1786,56,0.5015,335,0.4299,,,MARSAD_MAJLES
TNP-00166,ARP-2019,0.8929,112,0.5875,80,0.6567,335,0.2060,,,MARSAD_MAJLES
TNP-00167,ARP-2019,0.7589,112,0.9062,64,0.6448,335,0.4597,,,MARSAD_MAJLES
TNP-00168,ARP-2019,0.7522,113,0.2241,58,0.6239,335,0.6030,,,MARSAD_MAJLES
TNP-00169,ARP-2019,0.5044,113,0.4769,65,0.3552,335,0.3254,,,MARSAD_MAJLES
TNP-00170,ARP-2019,0.6339,112,0.2658,79,0.5493,335,0.4687,,,MARSAD_MAJLES
TNP-00171,ARP-2019,0.7522,113,0.7742,31,0.7433,335,0.7045,,,MARSAD_MAJLES
TNP-00172,ARP-2019,0.8125,112,0.7059,51,0.6299,335,0.5493,,,MARSAD_MAJLES
TNP-00173,ARP-2019,0.8393,112,0.6471,68,0.6119,335,0.5194,,,MARSAD_MAJLES
TNP-00174,ARP-2019,0.7168,113,,,0.4507,335,0.3701,,,MARSAD_MAJLES
TNP-00175,ARP-2019,0.7965,113,0.5156,64,0.6955,335,0.5254,,,MARSAD_MAJLES
TNP-00176,ARP-2019,0.6991,113,0.2778,54,0.6358,335,0.5224,,,MARSAD_MAJLES
TNP-00177,ARP-2019,0.5752,113,0.6167,60,0.6746,335,0.6000,,,MARSAD_MAJLES
TNP-00178,ARP-2019,0.7946,112,0.7222,54,0.9254,335,0.8149,,,MARSAD_MAJLES
TNP-00179,ARP-2019,0.6964,112,0.3488,43,0.6955,335,0.4836,,,MARSAD_MAJLES
TNP-00180,ARP-2019,0.7757,107,0.6667,57,0.7655,226,0.6991,,,MARSAD_MAJLES
TNP-00181,ARP-2019,0.9204,113,0.9583,48,0.7940,335,0.6657,,,MARSAD_MAJLES
TNP-00182,ARP-2019,0.7679,112,0.4706,51,0.6030,335,0.4806,,,MARSAD_MAJLES
TNP-00134,ARP-2019,0.6814,113,0.0417,24,0.2567,335,0.2209,,,MARSAD_MAJLES
TNP-00183,ARP-2019,0.6339,112,0.2321,56,0.6448,335,0.5373,,,MARSAD_MAJLES
TNP-00184,ARP-2019,0.8304,112,0.2759,58,0.6746,335,0.5642,,,MARSAD_MAJLES
TNP-00185,ARP-2019,0.9204,113,0.7059,51,0.9254,335,0.8090,,,MARSAD_MAJLES
TNP-00186,ARP-2019,0.9646,113,0.7727,44,0.9612,335,0.8448,,,MARSAD_MAJLES
TNP-00187,ARP-2019,0.8036,112,0.6462,65,0.8597,335,0.7642,,,MARSAD_MAJLES
TNP-00188,ARP-2019,0.8761,113,0.5641,39,0.5313,335,0.4209,,,MARSAD_MAJLES
TNP-00189,ARP-2019,0.7946,112,0.6203,79,0.7970,335,0.6985,,,MARSAD_MAJLES
TNP-00190,ARP-2019,0.7589,112,0.6897,58,0.3254,335,0.2507,,,MARSAD_MAJLES
TNP-00191,ARP-2019,0.8482,112,0.8615,65,0.8925,335,0.7851,,,MARSAD_MAJLES
TNP-00192,ARP-2019,0.6696,112,0.1765,51,0.5463,335,0.4269,,,MARSAD_MAJLES
TNP-00193,ARP-2019,0.6991,113,0.5490,51,0.7224,335,0.6746,,,MARSAD_MAJLES
TNP-00194,ARP-2019,0.9018,112,0.8182,44,0.9104,335,0.8299,,,MARSAD_MAJLES
TNP-00195,ARP-2019,0.6786,112,0.3750,40,0.4388,335,0.1642,,,MARSAD_MAJLES
TNP-00196,ARP-2019,0.6786,112,0.7241,58,0.7313,335,0.6328,,,MARSAD_MAJLES
TNP-00197,ARP-2019,0.7411,112,0.7778,45,0.7731,335,0.6627,,,MARSAD_MAJLES
TNP-00198,ARP-2019,0.5133,113,0.6721,61,0.2955,335,0.2507,,,MARSAD_MAJLES
TNP-00199,ARP-2019,0.8214,112,0.9375,16,0.8090,335,0.7015,,,MARSAD_MAJLES
TNP-00200,ARP-2019,0.8407,113,0.7463,67,0.9254,335,0.8179,,,MARSAD_MAJLES
TNP-00201,ARP-2019,0.8761,113,0.9494,79,0.7791,335,0.6746,,,MARSAD_MAJLES
TNP-00202,ARP-2019,0.8761,113,0.7778,63,0.8657,335,0.7433,,,MARSAD_MAJLES
TNP-00203,ARP-2019,0.8214,112,,,0.3791,335,0.0716,,,MARSAD_MAJLES
TNP-00204,ARP-2019,0.7257,113,0.7857,56,0.6716,335,0.5910,,,MARSAD_MAJLES
TNP-00205,ARP-2019,0.9018,112,0.5862,58,0.7343,335,0.6149,,,MARSAD_MAJLES
TNP-00206,ARP-2019,0.6607,112,0.4051,79,0.6597,335,0.5642,,,MARSAD_MAJLES
TNP-00207,ARP-2019,0.7589,112,0.5652,46,0.4657,335,0.2567,,,MARSAD_MAJLES
TNP-00208,ARP-2019,0.7411,112,0.1081,37,0.5552,335,0.4806,,,MARSAD_MAJLES
TNP-00209,ARP-2019,0.6991,113,0.7273,33,0.6119,335,0.5761,,,MARSAD_MAJLES
TNP-00210,ARP-2019,0.7965,113,0.7414,58,0.6657,335,0.4537,,,MARSAD_MAJLES
TNP-00211,ARP-2019,0.6161,112,0.2121,33,0.6507,335,0.5373,,,MARSAD_MAJLES
