bloc_id,assembly_id,name_ar,name_lat,party_id,formed_date,dissolved_date,notes
BLC-6814972dda22,ARP-2019,الكتلة الديمقراطية (2019),,PTY-079b16e9b74d,2019-11-13,,
BLC-6b8bfb9b4293,NCA-2011,كتلة حركة النهضة,Mouvement Nahdha,PTY-4559a54ac238,2011-11-22,,
BLC-761b155c0ff5,ARP-2019,مستقل,,PTY-INDEPENDENT,2019-11-13,,
BLC-87c002c3118f,NCA-2011,كتلة حزب التكتل,Ettakatol,PTY-ETTAKATOL,2011-11-22,,
BLC-889c30eade24,ARP-2014,حركة النهضة,Mouvement Ennahdha,PTY-ENNAHDHA,2015-03-06,,"bloc change located between 2015-03-06 and 2015-03-06; snapshot-derived, exact date unknown"
BLC-8b5102d2fd97,ARP-2014,كتلة الحرّة لحركة مشروع تونس,Bloc Al Horra du Mouvement Machrouu Tounes,PTY-30d752133dab,2016-12-13,,"bloc change located between 2016-11-19 and 2016-12-13; snapshot-derived, exact date unknown"
BLC-8b6a6f827cc8,ARP-2019,كتلة الاصلاح (2019),,PTY-8c13e5152d0f,2019-11-13,,
BLC-8c5cd0596051,NCA-2011,الإنتقال الديمقراطي,Transition Démocratique,PTY-0e2de5f37252,2011-11-22,,
BLC-8e101f3e5c9d,ARP-2014,آفاق تونس ونداء التونسيين بالخارج,Afek Tounes et lappel des tunisiens à létranger,PTY-899a51f36f9d,2017-04-28,,"bloc change located between 2016-12-13 and 2017-04-28; snapshot-derived, exact date unknown"
BLC-92c2c402d566,ARP-2014,كتلة الولاء للوطن,Allégeance à la Patrie,PTY-7e358197af47,2018-10-12,,"bloc change located between 2017-12-30 and 2018-10-12; snapshot-derived, exact date unknown"
BLC-96b9db640002,ARP-2019,كتلة حزب قلب تونس (2019),,PTY-b4cc6c38811d,2019-11-13,,
BLC-a26d44c82424,ARP-2014,الائتلاف الوطني,Coalition nationale,PTY-7233741e1ec0,2019-05-08,,"bloc change located between 2018-10-12 and 2019-05-08; snapshot-derived, exact date unknown"
BLC-a7a13cef4e0d,ARP-2019,الكتلة الوطنية (2020),,PTY-4c282d241960,2020-01-01,,
BLC-ac812da9c161,ARP-2023,كتلة صوت الجمهورية,,PTY-e75657052675,2023-05-11,,
BLC-ae732a4efe54,ARP-2023,كتلة الأمانة والعمل,,PTY-d1e65beb3791,2025-12-16,,
BLC-b62977f0e44d,ARP-2014,الكتلة الحرّة,Bloc Al Horra,PTY-cc0dd367425f,2016-02-08,,"bloc change located between 2016-01-08 and 2016-02-08; snapshot-derived, exact date unknown"
BLC-b8bc88af5d92,ARP-2014,حركة نداء تونس,Mouvement Nidaa Tounes,PTY-12c364be2b2b,2015-03-06,,"bloc change located between 2015-03-06 and 2015-03-06; snapshot-derived, exact date unknown"
BLC-b8dae4f6e993,ARP-2023,غير المنتمين إلى كتل,,PTY-4784a167446a,2023-05-30,,
BLC-c1c18f25656f,ARP-2014,آفاق تونس والحركة الوطنية ونداء التونسيين بالخارج,Afek Tounes le mouvement national et lappel des tunisiens à létranger,PTY-7c008889761b,2016-02-08,,"bloc change located between 2016-01-08 and 2016-02-08; snapshot-derived, exact date unknown"
BLC-d21009ea1fa4,NCA-2011,غير المنتمين إلى كتل,Aucun bloc,PTY-4784a167446a,2011-11-22,,
BLC-d44a7a7102c2,ARP-2014,غير المنتمين,Aucun bloc,PTY-820f1119d5ed,2016-12-13,,"bloc change located between 2016-11-19 and 2016-12-13; snapshot-derived, exact date unknown"
BLC-de77eb4f8164,ARP-2014,الكتلة الديمقراطية,Bloc Démocrate,PTY-079b16e9b74d,2016-11-19,,"bloc change located between 2016-10-17 and 2016-11-19; snapshot-derived, exact date unknown"
BLC-e3aba10fae18,ARP-2014,آفاق تونس,Afek Tounes,PTY-b0109a4f5966,2015-03-06,,"bloc change located between 2015-03-06 and 2015-03-06; snapshot-derived, exact date unknown"
BLC-ed7ba04997c5,ARP-2019,كتلة ائتلاف الكرامة (2019),,PTY-740db9d180c9,2019-11-13,,
BLC-f20b0575249e,ARP-2023,كتلة الخط الوطني السيادي,,PTY-afb20824a9f9,2024-10-29,,
BLC-f60fc63efcb3,NCA-2011,كتلة الوفاء للثورة,Fidélité à La Révolution,PTY-fe5731549756,2011-11-22,,
