layer,person_id,name_raw,script,surname_candidates,spine_candidates,period,subgroup,assembly_id,coverage_status,entry_mode,gender
legislators,TNP-00696,عمر القصري,ar,القصري,KSR,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00697,بنعيسى المغربي,ar,المغربي,MVRB,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00698,الشاذلي القليبي,ar,القليبي,KLB,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00699,شاذلية عثمان,ar,عثمان,TMN,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00700,الشادلي العياري,ar,العياري,R,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00701,الشريف لبيض,ar,لبيض,LBD,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00702,دخلية شلبي,ar,شلبي,SLB,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00703,العيد الطرابلسي,ar,الطرابلسي,TRBLS,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00704,إلياس قضومي,ar,قضومي,KDM,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00705,آمنة صولة,ar,صولة,SL,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00706,آسيا الدخيلي,ar,الدخيلي,DXL,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00707,فتحية المغربي,ar,المغربي,MVRB,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00708,فيصل التريكي,ar,التريكي,TRK,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00709,فؤاد الحوات,ar,الحوات,HT,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00710,غلام دباش,ar,دباش,DBS,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00711,الهادي بكوش,ar,بكوش,BKS,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00712,الهادي بدري,ar,بدري,BDR,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00713,الهادي مهني,ar,مهني,MHN,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00714,الحبيب عمار,ar,عمار,MR,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00715,الحبيب مستوري,ar,مستوري,MSTR,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00716,حمدان الرحوي,ar,الرحوي,RH,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00717,حياة العواني,ar,العواني,N,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00718,عماد الدين شاكر,ar,شاكر,SKR,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00719,اسماعيل حوّش,ar,حوش,HS,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00720,جلال مكادة,ar,مكادة,MKD,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00721,جمال الدين خماخم,ar,خماخم,XMXM,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00722,الجيلاني الرزقي,ar,الرزقي,RZK,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00723,جوزيف روجي بسموث,ar,بسموث,BSMT,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00724,كمال العيادي,ar,العيادي,D,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00725,كريم داود,ar,داود,D,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00726,ليلى المبروك,ar,المبروك,MBRK,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00727,مبروك البحري,ar,البحري,BHR,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00728,محرزية المعروفي,ar,المعروفي,MRF,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00729,مريم عقيلي,ar,عقيلي,KL,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00730,المكي العلوي,ar,العلوي,L,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00731,مسعود شوشان,ar,شوشان,SN,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00732,ميلود بن الهذيلي الزائري,ar,الزائري,ZR,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00733,محمد علي بن علية,ar,بن علية|علية,BNL|L,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00734,محمد العموص,ar,العموص,MS,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00735,محمد عزيز ميلاد,ar,ميلاد,MLD,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00736,محمد الباجي بن مامي,ar,بن مامي|مامي,BM|M,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00737,محمد بشير خلف اللّه,ar,خلف الله,XLFL,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00738,محمد بن سدرين,ar,بن سدرين|سدرين,BNSDRN|SDRN,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00739,محمد برهان صفية,ar,صفية,SF,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00740,محمد شندول,ar,شندول,SNDL,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00741,محمد المستيري,ar,المستيري,MSTR,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00742,محمد فتحي ملوكة,ar,ملوكة,MLK,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00743,محمد حرمل,ar,حرمل,HRML,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00744,محمد حسين فنطر,ar,فنطر,FNTR,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00745,محمد حميدات,ar,حميدات,HMDT,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00746,محمد جلال الرويسي,ar,الرويسي,RS,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00747,محمد الأحيول,ar,الأحيول,HL,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00748,محمد الليني,ar,الليني,LN,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00749,محمد المنصف بن مصباح,ar,بن مصباح|مصباح,BMSBH|MSBH,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00750,محمد منصف الشابي,ar,الشابي,SB,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00751,محمد المنصر الرويسي,ar,الرويسي,RS,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00752,محمد مواعدة,ar,مواعدة,MD,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00753,محمد نجيب حمادي,ar,حمادي,HMD,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00754,محمد الصادق قراجة,ar,قراجة,KRJ,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00755,محمد الصحراوي,ar,الصحراوي,SHR,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00756,محمد السلاوتي,ar,السلاوتي,SLT,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00757,محمد الطاهر الخميري,ar,الخميري,XMR,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00758,محي الدين الخلفاوي,ar,الخلفاوي,XLF,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00759,منصف بركوس,ar,بركوس,BRKS,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00760,منصف الماطري,ar,الماطري,MTR,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00761,منذر ثابت,ar,ثابت,TBT,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00762,المنجي المحواشي,ar,المحواشي,MHS,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00763,المنجي الشريف,ar,الشريف,SRF,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00764,منجية النفزي,ar,النفزي,NFZ,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00765,منية السنوسي,ar,السنوسي,SNS,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00766,منير المؤخر,ar,المؤخر,MXR,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00767,مصطفى بوعزيز,ar,بوعزيز,BZ,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00768,نعيمة خياش,ar,خياش,XS,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00769,نزيهة زروق,ar,زروق,ZRK,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00770,عثمان رياحي,ar,رياحي,RH,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00771,رشيد بن منصور السلامي,ar,السلامي,SLM,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00772,رشيد صفر,ar,صفر,SFR,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00773,روضة العلويني,ar,العلويني,LN,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00774,رياض الزغل,ar,الزغل,ZVL,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00775,رضا الفقير بن بلقاسم,ar,بن بلقاسم|بلقاسم,BMBLKSM|BLKSM,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00776,رضا الملولي,ar,الملولي,ML,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00777,ريم السالمي رويس,ar,رويس,RS,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00778,الصادق بن جمعة,ar,بن جمعة|جمعة,BNJM|JM,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00779,الصحبي البصلي,ar,البصلي,BSL,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00780,صالح بن الحاج حسين,ar,بن حسين|حسين,BNHSN|HSN,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00781,سالم بن عمر,ar,بن عمر|عمر,BMR|MR,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00782,سمير المغراوي,ar,المغراوي,MVR,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00783,صلاح الدين شعبان,ar,شعبان,SBN,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00784,سعاد الأمين,ar,الأمين,MN,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00785,الطيب بوعجينة,ar,بوعجينة,BJN,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00786,الطيب السحباني,ar,السحباني,SHBN,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00787,يحي رحّال,ar,رحال,RHL,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00788,يونس المناعي,ar,المناعي,MN,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00789,يوسف الكشوطي,ar,الكشوطي,KST,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00569,المنجي سليم,ar,سليم,SLM,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00570,ألبير بسيس,ar,بسيس,BS,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00571,أحمد المستيري,ar,المستيري,MSTR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00572,الطاهر بن عمار,ar,بن عمار|عمار,BMR|MR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00573,العزيز الجلولي,ar,الجلولي,JL,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00574,محمود بن عز الدين,ar,بن عز الدين|عز الدين,BNZDN|ZDN,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00575,الهادي نويرة,ar,نويرة,NR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00576,مصطفى الوالي,ar,الوالي,L,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00577,حمزة ستا,ar,ستا,ST,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00578,محمد الحبيب,ar,الحبيب,HB,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00579,حبيب تليبة,ar,تليبة,TLB,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00580,أحمد بن حميدة,ar,بن حميدة|حميدة,BNHMD|HMD,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00581,الجلولي فارس,ar,فارس,FRS,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00582,عبد الرحمان مجول,ar,مجول,MJL,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00583,أحمد بن عبد الكريم,ar,بن عبد الكريم|عبد الكريم|الكريم,BMBDKRM|BDKRM|KRM,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00584,عبد العزيز نوري,ar,نوري,NR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00585,طاهر دباية,ar,دباية,DB,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00586,مصطفى الفيلالي,ar,الفيلالي,FL,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00587,محمد شكرون,ar,شكرون,SKRN,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00588,صلاح كشريد,ar,كشريد,KSRD,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00589,عبد السلام عاشور,ar,عاشور,SR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00590,محمد فالح جهيناوي,ar,جهيناوي,JHN,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00591,حسن ساسي,ar,ساسي,S,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00592,عز الدين عباسي,ar,عباسي,BS,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00593,الشيخ علي بنعيسى بوحجر,ar,بوحجر,BHJR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00594,العربي عبروق,ar,عبروق,BRK,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00595,محمد كرمة,ar,كرمة,KRM,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00596,صالح بالعيش,ar,بالعيش,BLS,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00597,محمد المصمودي,ar,المصمودي,MSMD,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00598,محمد قاسم,ar,قاسم,KSM,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00599,محمد صفر,ar,صفر,SFR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00600,فرج جمعة,ar,جمعة,JM,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00601,محمد الجدي,ar,الجدي,JD,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00602,صادق بن يحمد,ar,بن يحمد|يحمد,BNHMD|HMD,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00603,عبد الحميد برغاوي,ar,برغاوي,BRV,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00604,محمد حمزة,ar,حمزة,HMZ,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00605,محمد شنيق,ar,شنيق,SNK,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00606,عبد الرحمان عبد النبي,ar,عبد النبي|النبي,BDMB|MB,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00607,أحمد الغرياني,ar,الغرياني,VRN,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00608,سليمان الزواري,ar,الزواري,ZR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00609,الحبيب بورقيبة,ar,بورقيبة,BRKB,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00610,الهادي بوسلامة,ar,بوسلامة,BSLM,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00611,العجمي سليم,ar,سليم,SLM,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00612,الطيب المهيري,ar,المهيري,MHR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00613,الهادي الغلوصي,ar,الغلوصي,VLS,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00614,مختار عزيز,ar,عزيز,Z,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00615,الصادق بوصفارة,ar,بوصفارة,BSFR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00616,بشير بلاغة,ar,بلاغة,BLV,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00617,محمد زهوية,ar,زهوية,ZH,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00618,محمد بدرة,ar,بدرة,BDR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00619,أحمد بن صالح,ar,بن صالح|صالح,BNSLH|SLH,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00620,عبد الرحمان بوعجاجة,ar,بوعجاجة,BJ,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00621,محمود الخياري,ar,الخياري,XR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00622,نصر مرزوقي,ar,مرزوقي,MRZK,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00623,محمد الراي,ar,الراي,R,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00624,يوسف لبوز,ar,لبوز,LBZ,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00625,نصر بن جعفر,ar,بن جعفر|جعفر,BNJFR|JFR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00626,الفرجاني بالحاج عمار,ar,عمار,MR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00627,أحمد علولو,ar,علولو,L,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00628,الحبيب عاشور,ar,عاشور,SR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00629,حسن شفرود,ar,شفرود,SFRD,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00630,محمد مكني,ar,مكني,MKN,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00631,مفتاح سميري,ar,سميري,SMR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00632,أحمد دريرة,ar,دريرة,DR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00633,محمود الغول,ar,الغول,VL,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00634,طاهر عبد الكافي,ar,عبد الكافي|الكافي,BDKF|KF,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00635,أحمد التليلي,ar,التليلي,TL,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00636,حسين بن صالح,ar,بن صالح|صالح,BNSLH|SLH,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00637,حسين بوزيان,ar,بوزيان,BZN,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00638,محمد الأمين الشابي,ar,الشابي,SB,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00639,حسونة بن طاهر,ar,بن طاهر|طاهر,BNTHR|THR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00640,قلعي رشدي,ar,رشدي,RSD,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00641,الشادلي باش تبجي,ar,باش تبجي|تبجي,BSTBJ|TBJ,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00642,فتحي زهير,ar,زهير,ZHR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00643,محمد كباني,ar,كباني,KBN,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00644,طاهر بوريال,ar,بوريال,BRL,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00645,صالح قلعاوي,ar,قلعاوي,KL,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00646,الصادق المقدم,ar,المقدم,MKDM,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00647,علي الزلاوي,ar,الزلاوي,ZL,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00648,شريف مراد,ar,مراد,MRD,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00649,شادلي رحيم,ar,رحيم,RHM,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00650,عبد الله فرحات,ar,فرحات,FRHT,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00651,جلول بن شريفة,ar,بن شريفة|شريفة,BNSRF|SRF,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00652,محمد رمضان,ar,رمضان,RMDN,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00653,محمد بن للونة,ar,بن للونة|للونة,BNLN|LN,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00654,علي البلهوان,ar,البلهوان,BLHN,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00655,الحبيب الشطي,ar,الشطي,ST,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00656,عمار بالحاج عثمان,ar,عثمان,TMN,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00657,أحمد بالأمين,ar,بالأمين,BLMN,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00658,الباهي الأدغم,ar,الأدغم,DVM,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00659,محمد الشاذلي النيفر,ar,النيفر,NFR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00660,محمود الماطري,ar,الماطري,MTR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00661,عمر الرياحي,ar,الرياحي,RH,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00662,أندريه بروش,ar,بروش,BRS,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00663,الطيب السحباني,ar,السحباني,SHBN,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00664,محمد لصفر جراد,ar,جراد,JRD,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00665,عزوز الرباعي,ar,الرباعي,RB,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00666,محمود زرزاري,ar,زرزاري,ZRZR,protectorate_transition,Front National,ANC-1956,full,elected,
legislators,TNP-00667,الطيب الميلادي,ar,الميلادي,MLD,protectorate_transition,Front National,ANC-1956,full,elected_byelection,
legislators,TNP-00668,توفيق بن براهيم,ar,بن براهيم|براهيم,BMBRHM|BRHM,protectorate_transition,Front National,ANC-1956,full,elected_byelection,
legislators,TNP-00669,الرشيد إدريس,ar,إدريس,DRS,protectorate_transition,Front National,ANC-1956,full,elected_byelection,
legislators,TNP-00670,أحمد عمارة,ar,عمارة,MR,protectorate_transition,Front National,ANC-1956,full,elected_byelection,
legislators,TNP-00671,محمد النفطي,ar,النفطي,NFT,protectorate_transition,Front National,ANC-1956,full,elected_byelection,
legislators,TNP-00672,البحري بربوش,ar,بربوش,BRBS,protectorate_transition,Front National,ANC-1956,full,elected_byelection,
legislators,TNP-00673,صادق غرمازي,ar,غرمازي,VRMZ,protectorate_transition,Front National,ANC-1956,full,elected_byelection,
legislators,TNP-00674,صادق خلف الله,ar,خلف الله,XLFL,protectorate_transition,Front National,ANC-1956,full,elected_byelection,
legislators,TNP-00675,أحمد السنوسي,ar,السنوسي,SNS,protectorate_transition,Front National,ANC-1956,full,elected_byelection,
legislators,TNP-00676,محمد عجيلي,ar,عجيلي,JL,protectorate_transition,Front National,ANC-1956,full,elected_byelection,
legislators,TNP-00058,فاطمة المسدي,ar,المسدي,MSD,second_republic,حركة نداء تونس,ARP-2014,full,elected,female
legislators,TNP-00065,عماد أولاد جبريل,ar,أولاد جبريل|جبريل,LDJBRL|JBRL,second_republic,حركة نداء تونس,ARP-2014,full,elected,male
legislators,TNP-00111,رياض جعيدان,ar,جعيدان,JDN,second_republic,قائمة نداء التونسيين بالخارج,ARP-2014,full,elected,male
legislators,TNP-00115,رضا الدلاعي,ar,الدلاعي,DL,second_republic,حركة الشعب,ARP-2014,full,elected,male
legislators,TNP-00145,الناصر الشنوفي,ar,الشنوفي,SNF,second_republic,حزب المبادرة,ARP-2014,full,elected,male
legislators,TNP-00163,عدنان حاجي,ar,حاجي,HJ,second_republic,القائمة المستقلة رد الإعتبار,ARP-2014,full,elected,male
legislators,TNP-00174,عامر العريض,ar,العريض,RD,second_republic,حركة النهضة,ARP-2014,full,elected,male
legislators,TNP-00178,أروى بن عباس,ar,بن عباس|عباس,BMBS|BS,second_republic,حركة النهضة,ARP-2014,full,elected,female
legislators,TNP-00183,البشير الخليفي,ar,الخليفي,XLF,second_republic,حركة النهضة,ARP-2014,full,elected,male
legislators,TNP-00191,آمنة بن حميد,ar,بن حميد|حميد,BNHMD|HMD,second_republic,حركة النهضة,ARP-2014,full,elected,female
legislators,TNP-00199,فتحي العيادي,ar,العيادي,D,second_republic,حركة النهضة,ARP-2014,full,elected,male
legislators,TNP-00203,فيصل تبيني,ar,تبيني,TBN,second_republic,حزب صوت الفلاحين,ARP-2014,full,elected,male
legislators,TNP-00204,فريدة عبيدي,ar,عبيدي,BD,second_republic,حركة النهضة,ARP-2014,full,elected,female
legislators,TNP-00208,حافظ الزواري,ar,الزواري,ZR,second_republic,آفاق تونس,ARP-2014,full,elected,male
legislators,TNP-00212,حسونه ناصفي,ar,ناصفي,NSF,second_republic,حركة نداء تونس,ARP-2014,full,elected,male
legislators,TNP-00217,حياة عمري,ar,عمري,MR,second_republic,حركة النهضة,ARP-2014,full,elected,female
legislators,TNP-00221,هاجر بوزمي,ar,بوزمي,BZM,second_republic,حركة النهضة,ARP-2014,full,elected,female
