person_id,name_lat,bloc,closest_allies_in_own_bloc,closest_ally,closest_ally_bloc,closest_ally_agreement,mean_agreement_of_top3,times_chosen_by_others,bloc_observed_share,bloc_chance_share,bloc_lift
TNP-00478,Omar Chetoui,CPR,3,Abdessalem Chaabane,CPR,0.864,0.8425,0,0.7857,0.0602,13.055
TNP-00479,Fadhel Elouej,No bloc,3,Amira Marzouk,No bloc,0.9623,0.9336,3,0.5897,0.2361,2.498
TNP-00480,Fatma Gharbi,No bloc,1,Selim Ben Abdessalam,No bloc,0.8627,0.8496,0,0.5897,0.2361,2.498
TNP-00481,Faiza Kadoussi,No bloc,2,Salma Nazih Znaidi,Ettakatol,0.8235,0.8121,0,0.5897,0.2361,2.498
TNP-00482,Fathi Eltaif,No bloc,3,Hattab Barakati,No bloc,0.8634,0.8399,2,0.5897,0.2361,2.498
TNP-00483,Farah Nsibi,No bloc,1,Khalid Belhaj,No bloc,0.9287,0.9169,1,0.5897,0.2361,2.498
TNP-00484,Farida Labidi,Ennahdha,3,Mahmoud Gouiaa,Ennahdha,0.9936,0.9872,11,0.9272,0.3981,2.329
TNP-00485,Fattoum Lassoued,Ennahdha,2,Salma Nazih Znaidi,Ettakatol,0.9286,0.913,0,0.9272,0.3981,2.329
TNP-00486,Fattouma Attia,Ennahdha,3,Mahmoud Gouiaa,Ennahdha,0.9511,0.9486,0,0.9272,0.3981,2.329
TNP-00487,Foued Thamer,Democratic Bloc,2,Karim Bouabdelli,Democratic Bloc,0.9106,0.8822,1,0.6481,0.0787,8.235
TNP-00488,Faiçal Jadlaoui,No bloc,1,Salma Nazih Znaidi,Ettakatol,0.9012,0.8934,0,0.5897,0.2361,2.498
TNP-00489,Kais Mokhtar,No bloc,1,Mahmoud El May,No bloc,0.9007,0.8881,2,0.5897,0.2361,2.498
TNP-00490,Karim Bouabdelli,Democratic Bloc,1,Foued Thamer,Democratic Bloc,0.9106,0.8824,1,0.6481,0.0787,8.235
TNP-00491,Karima Souid,Democratic Bloc,1,Selim Ben Abdessalam,No bloc,0.9186,0.8993,5,0.6481,0.0787,8.235
TNP-00492,Kalthoum Badreddine,Ennahdha,3,Ameur Laraiedh,Ennahdha,0.9716,0.9655,0,0.9272,0.3981,2.329
TNP-00493,Kamel Saadaoui,No bloc,0,Khira Sghairi,Ennahdha,0.9263,0.9254,0,0.5897,0.2361,2.498
TNP-00494,Kamel Ammar,Ennahdha,3,Moufida Marzouki,Ennahdha,0.948,0.9434,0,0.9272,0.3981,2.329
TNP-00495,Kamel Ben Amara,Ennahdha,2,Ameur Laraiedh,Ennahdha,0.9633,0.9519,0,0.9272,0.3981,2.329
TNP-00496,Kaouther Ladgham,Ennahdha,3,Hafedh Ibrahim Lassoued,Ennahdha,0.9591,0.9518,1,0.9272,0.3981,2.329
