person_id,name_lat,bloc,window,strong_ties,strong_ties_cross_bloc
TNP-00455,Dhamir Mannai,No bloc,before,0,0
TNP-00456,Tarek Labidi,Ettakatol,before,35,33
TNP-00457,Tarek Bouaziz,Democratic Transition,before,1,0
TNP-00458,Adel Ben Attia,Ennahdha,before,100,16
TNP-00459,Aicha Dhaouadi,Ennahdha,before,98,14
TNP-00460,Abdelbasset Becheikh,Ennahdha,before,97,15
TNP-00461,Abdelhalim Zouari,Ennahdha,before,98,14
TNP-00463,Abderrazak Khallouli,Democratic Transition,before,0,0
TNP-00465,Abdessattar Dhifi,Loyalty to the Revolution,before,32,32
TNP-00466,Abdessalem Chaabane,CPR,before,7,2
TNP-00467,Abdelaziz Chaabane,Ennahdha,before,95,13
TNP-00468,Abdelaziz Kotti,No bloc,before,3,1
TNP-00469,Abdelkader Ben Khmis,Democratic Bloc,before,3,1
TNP-00470,Abdelkader Kadri,Ennahdha,before,99,15
TNP-00471,Abdelmajid Najar,Ennahdha,before,94,12
TNP-00473,Issam Chebbi,No bloc,before,8,4
TNP-00474,Ali Bechrifa,Democratic Bloc,before,2,1
TNP-00475,Ali Fares,Ennahdha,before,93,14
TNP-00476,Ali Houiji,Loyalty to the Revolution,before,0,0
TNP-00477,Imed Hammami,Ennahdha,before,96,12
TNP-00478,Omar Chetoui,CPR,before,4,1
TNP-00479,Fadhel Elouej,No bloc,before,0,0
TNP-00480,Fatma Gharbi,No bloc,before,2,2
TNP-00481,Faiza Kadoussi,No bloc,before,0,0
TNP-00482,Fathi Eltaif,No bloc,before,2,1
TNP-00483,Farah Nsibi,No bloc,before,86,82
TNP-00484,Farida Labidi,Ennahdha,before,95,11
TNP-00485,Fattoum Lassoued,Ennahdha,before,95,12
TNP-00486,Fattouma Attia,Ennahdha,before,75,17
TNP-00487,Foued Thamer,Democratic Bloc,before,3,0
TNP-00488,Faiçal Jadlaoui,No bloc,before,7,7
TNP-00489,Kais Mokhtar,No bloc,before,1,1
TNP-00490,Karim Bouabdelli,Democratic Bloc,before,9,5
TNP-00491,Karima Souid,Democratic Bloc,before,5,4
TNP-00492,Kalthoum Badreddine,Ennahdha,before,89,9
TNP-00493,Kamel Saadaoui,No bloc,before,87,82
TNP-00494,Kamel Ammar,Ennahdha,before,94,10
TNP-00495,Kamel Ben Amara,Ennahdha,before,94,10
TNP-00496,Kaouther Ladgham,Ennahdha,before,97,14
TNP-00497,Lobna Jeribi,Ettakatol,before,73,68
TNP-00498,Mabrouk Hrizi,Loyalty to the Revolution,before,1,0
TNP-00499,Mabrouka Mbarek,CPR,before,19,12
TNP-00500,Meherzia Labidi,Ennahdha,before,85,11
TNP-00501,Mohsen Kaabi,Ennahdha,before,87,9
TNP-00502,Mohamed Habib Harguem,Ettakatol,before,4,4
TNP-00503,Mohamed Salah Chairat,Democratic Transition,before,6,6
TNP-00504,Mohamed Tahar Ilahi,No bloc,before,4,2
TNP-00505,Mohamed Tahar Tlili,Ennahdha,before,98,14
TNP-00506,Mohamed Elarbi Fadhel Moussa,Democratic Bloc,before,12,7
TNP-00507,Mohamed Karray Jerbi,Loyalty to the Revolution,before,3,1
TNP-00508,Moncef Cheikhrouhou,Democratic Alliance,before,5,5
