person_id,name_lat,bloc,n_committees,committee_ids,committee_labels,degree_full_graph,degree_backbone,weighted_degree_newman
TNP-00436,Salma Sarsout,Ennahdha,2,CMT-7249209246b3 CMT-8978fc995f04,Constituent 6 | Legislative 5,39,0,2.0
TNP-00546,Haythem Belgacem,CPR,2,CMT-400b91a3bed5 CMT-8978fc995f04,Special 5 | Legislative 5,39,0,2.0
TNP-00357,Yamina Zoghlami,Ennahdha,2,CMT-499d23e8523f CMT-f2d2d05db58f,Special 6 | Legislative 4,39,0,2.0
TNP-00267,Moez Belhaj Rhouma,Ennahdha,2,CMT-13e8b4757c0d CMT-3b890b1f160a,Legislative 2 | Special 4,38,2,2.0
TNP-00369,Ahmed Mechergui,Ennahdha,2,CMT-4e91930c5e8b CMT-b46554e2045e,Constituent 2 | Legislative 7,38,1,2.0
TNP-00445,Sana Haddad,Ennahdha,2,CMT-4e91930c5e8b CMT-b46554e2045e,Constituent 2 | Legislative 7,38,1,2.0
TNP-00380,Bechir Chammem,Ennahdha,2,CMT-12bc734f9df1 CMT-178580c40e35,Legislative 1 | Constituent 1,38,5,2.0
TNP-00391,Naceur Brahmi,No bloc,2,CMT-12bc734f9df1 CMT-178580c40e35,Legislative 1 | Constituent 1,38,5,2.0
TNP-00422,Dalila Bouain,Ennahdha,2,CMT-12bc734f9df1 CMT-178580c40e35,Legislative 1 | Constituent 1,38,5,2.0
TNP-00465,Abdessalem Chaabane,CPR,2,CMT-12bc734f9df1 CMT-178580c40e35,Legislative 1 | Constituent 1,38,5,2.0
TNP-00388,Ferjani Doghmane,Ennahdha,2,CMT-13e8b4757c0d CMT-4d57513fbffc,Legislative 2 | Constituent 5,38,2,2.0
TNP-00483,Fattouma Attia,Ennahdha,2,CMT-13e8b4757c0d CMT-4d57513fbffc,Legislative 2 | Constituent 5,38,2,2.0
TNP-00442,Samir Bettaieb,Democratic Bloc,2,CMT-400b91a3bed5 CMT-545e8558a206,Special 5 | Constituent 3,38,3,2.0
TNP-00417,Halima Guenni,Ennahdha,2,CMT-8978fc995f04 CMT-c6c8260db7f4,Legislative 5 | Constituent 4,38,2,2.0
TNP-00447,Chokri Yaich,Democratic Alliance,2,CMT-8978fc995f04 CMT-c6c8260db7f4,Legislative 5 | Constituent 4,38,2,2.0
TNP-00439,Selim Ben Abdessalam,No bloc,2,CMT-4d57513fbffc CMT-f2d2d05db58f,Constituent 5 | Legislative 4,38,2,2.0
TNP-00463,Abderraouf Ayadi,Loyalty to the Revolution,2,CMT-3b890b1f160a CMT-4d57513fbffc,Special 4 | Constituent 5,38,2,2.0
