rank,person_id,name_lat,written_questions
66,TNP-00074,Abdelkader Ammar,34
67,TNP-00057,Fethi Mechrgui,32
68,TNP-00099,Sirine Mrabet,32
69,TNP-00104,Sami Rais,31
70,TNP-00143,Ilyes Boukoucha,31
71,TNP-00140,Aymen Boughdiri,30
72,TNP-00149,Taïeb Talbi,30
73,TNP-00033,Mohamed Ali,29
74,TNP-00035,Mohamed Chaabani,29
75,TNP-00050,Kamel Keraani,28
76,TNP-00127,Hatem Houaoui,28
77,TNP-00130,Thabet Abed,28
78,TNP-00154,Brahim Ben hsine,27
79,TNP-00015,Nabil Hamdi,26
80,TNP-00147,Olfa Marouani,26
81,TNP-00117,khaled Hakim Mabrouki,25
82,TNP-00067,Ali Zaghdoud,24
83,TNP-00139,Aymen Maraoui,24
84,TNP-00116,Rochdi Rouissi,23
85,TNP-00023,Moez Riahi,22
86,TNP-00038,Mohamed Ben Hassine,22
87,TNP-00097,Ezzedine Zaafouri,22
88,TNP-00119,Hamdi Ben Abdelali,22
89,TNP-00043,mohamed Ahmed,21
90,TNP-00017,Mounir Kammouni,20
91,TNP-00069,Issam Chouchen,20
92,TNP-00131,Boubaker Ben Yahya,20
93,TNP-00145,Channoufi Naceur,20
94,TNP-00106,Sami Essaied,19
95,TNP-00129,Thameur Mazhoud,19
96,TNP-00134,badreddine gammoudi,19
97,TNP-00053,Faouzi Daas,18
98,TNP-00004,yassine Mami,17
99,TNP-00079,Abdessattar Zarai,17
100,TNP-00124,Hassen Ben Ali,17
101,TNP-00137,Aymen Negra,17
102,TNP-00078,Abdessalem Hamrouni,16
103,TNP-00034,Mohamed Dhaw,15
104,TNP-00088,Tarek Rebai,15
105,TNP-00112,Riadh Blel,15
106,TNP-00037,Mohamed Ben Said,14
107,TNP-00086,dhafer Sghiri,14
108,TNP-00005,Yasser Grari,13
109,TNP-00049,Lotfi Saadaoui,13
110,TNP-00054,Fakhri Abdelkhalek,13
111,TNP-00087,Tarek Mehdi,13
112,TNP-00107,Sami Hadj Amor,13
113,TNP-00047,Majda Ouerghi,12
114,TNP-00051,Kamel Farrah,12
115,TNP-00056,Fethi Rjeb,12
116,TNP-00080,Abderrazek Aouidet,12
117,TNP-00092,Salah Sayadi,12
118,TNP-00095,Sabeur Jelassi,12
119,TNP-00036,Mohamed Zied El Maher,11
120,TNP-00068,Ali Bouzouzia,11
121,TNP-00090,Slah ferchichi,11
122,TNP-00093,Salah Selmi,11
123,TNP-00132,Bilel Ibn El Mechri,11
124,TNP-00073,Adnen Allouche,10
125,TNP-00100,Sawsen Mabrouk,10
126,TNP-00118,Hamza Bidhiafi,10
127,TNP-00014,Nabih Thabet,9
128,TNP-00041,Mohamed Yahyaoui,9
129,TNP-00141,Anouar Marzouki,9
130,TNP-00003,Yosri Baouab,8
131,TNP-00007,Hichem Hosni,8
132,TNP-00018,Moncef Maaloul,8
133,TNP-00021,Moez Ben Youssef,8
134,TNP-00045,Maher Boubaker Hadhri,8
135,TNP-00020,Melik Kammoun,7
136,TNP-00044,Mohsen Hermi,6
137,TNP-00072,Ezzeddine Tayeb,6
138,TNP-00103,Sami Toujani,6
139,TNP-00148,Fadhel Ben Torkia,6
140,TNP-00001,Youssef Tarchoun,5
141,TNP-00059,Faten Ncibi,5
142,TNP-00121,Hammadi Ghilani,5
143,TNP-00123,Hassen Boussama,5
144,TNP-00063,Amor Barhoumi,4
145,TNP-00082,Abdelhafedh Louhichi,4
146,TNP-00120,Hamdi Ben Salah,4
147,TNP-00022,Moez Barkallah,3
148,TNP-00091,Salah Mbarki,3
149,TNP-00046,Maher Ketari,1
150,TNP-00075,Abdelkader Ben Zineb,1
151,TNP-00085,Adel Bousselmi,1
152,TNP-00105,Sami Ben Abdelaali,1
153,TNP-00111,Jaidane Riadh,1
154,TNP-00115,Dellai Ridha,1
