person_id,name_lat,bloc,strong_ties_before,strong_ties_cross_before,strong_ties_after,strong_ties_cross_after,strong_ties_after_later,strong_ties_cross_after_later
TNP-00476,Imed Hammami,Ennahdha,96,12,51,1,52,2
TNP-00477,Omar Chetoui,CPR,4,1,0,0,1,1
TNP-00478,Fatma Gharbi,No bloc,2,2,3,3,1,0
TNP-00479,Faiza Kadoussi,No bloc,0,0,0,0,0,0
TNP-00480,Fathi Eltaif,No bloc,2,1,1,1,1,0
TNP-00481,Farah Nsibi,No bloc,86,82,24,21,0,0
TNP-00482,Fattoum Lassoued,Ennahdha,95,12,11,2,21,5
TNP-00483,Fattouma Attia,Ennahdha,75,17,21,0,0,0
TNP-00484,Faiçal Jadlaoui,No bloc,7,7,11,7,16,14
TNP-00485,Kais Mokhtar,No bloc,1,1,1,0,7,7
TNP-00486,Karim Bouabdelli,Democratic Bloc,9,5,0,0,1,0
TNP-00487,Karima Souid,Democratic Bloc,5,4,5,3,5,1
TNP-00488,Kalthoum Badreddine,Ennahdha,89,9,56,2,71,6
TNP-00489,Kamel Saadaoui,No bloc,87,82,40,37,14,11
TNP-00490,Kamel Ammar,Ennahdha,94,10,23,0,52,2
TNP-00491,Kamel Ben Amara,Ennahdha,94,10,53,1,62,2
TNP-00492,Kaouther Ladgham,Ennahdha,97,14,18,2,61,7
TNP-00493,Lobna Jeribi,Ettakatol,73,68,19,16,36,33
TNP-00494,Mabrouk Hrizi,Loyalty to the Revolution,1,0,1,0,0,0
TNP-00495,Mabrouka Mbarek,CPR,19,12,5,1,3,0
TNP-00496,Meherzia Labidi,Ennahdha,85,11,62,17,4,2
TNP-00497,Mohsen Kaabi,Ennahdha,87,9,41,1,70,4
TNP-00498,Mohamed Habib Harguem,Ettakatol,4,4,2,2,0,0
TNP-00499,Mohamed Salah Chairat,Democratic Transition,6,6,4,1,0,0
TNP-00500,Mohamed Tahar Ilahi,No bloc,4,2,0,0,0,0
TNP-00501,Mohamed Tahar Tlili,Ennahdha,98,14,82,11,69,6
TNP-00502,Mohamed Elarbi Fadhel Moussa,Democratic Bloc,12,7,12,7,8,2
TNP-00503,Mohamed Karray Jerbi,Loyalty to the Revolution,3,1,0,0,5,4
TNP-00504,Moncef Cheikhrouhou,Democratic Alliance,5,5,0,0,1,1
TNP-00505,Mohamed Neji Gharsalli,No bloc,43,38,1,0,4,4
TNP-00506,Mohamed Saidi,Ennahdha,96,12,57,2,48,0
TNP-00507,Mohamed Ben Mabrouk Hamdi,Democratic Alliance,7,5,17,13,7,3
TNP-00508,Mahmoud El May,No bloc,1,1,7,4,0,0
TNP-00509,Mohamed Essghaier,Ennahdha,98,14,67,4,59,1
TNP-00510,Mohamed Gahbich,Democratic Alliance,9,7,15,12,6,2
TNP-00511,Mohamed Nejib Khila,No bloc,8,5,1,0,1,1
TNP-00512,Mohamed Ben Youssef Hamdi,No bloc,0,0,0,0,2,0
TNP-00514,Mohamed Abdelmonem Krir,No bloc,3,2,0,0,1,1
TNP-00515,Mohamed Ali Nasri,No bloc,4,1,1,1,0,0
TNP-00517,Mohamed Nejib Hosni,No bloc,62,59,3,1,17,16
TNP-00518,Mohamed Nizar Kacem,No bloc,105,99,60,51,19,19
TNP-00519,Mahmoud Gouiaa,Ennahdha,98,14,81,8,74,5
TNP-00520,Mahmoud Baroudi,Democratic Alliance,14,11,9,7,1,0
TNP-00521,Mourad Amdouni,No bloc,3,1,1,1,0,0
TNP-00522,Mustapha Ben Jaafar,Ettakatol,15,15,15,15,0,0
TNP-00524,Moufida Marzouki,Ennahdha,94,11,71,3,69,3
TNP-00525,Mouna Ben Nasr,No bloc,6,4,2,1,0,0
TNP-00526,Monia Ibrahim,Ennahdha,99,16,37,4,52,1
TNP-00527,Monia Gasri,Ennahdha,98,14,34,6,72,4
TNP-00528,Mounir Ben Hnia,Ennahdha,100,16,89,11,44,1
TNP-00529,Mounira Omri,Ennahdha,87,7,53,5,39,1
TNP-00531,Maya Jeribi,No bloc,1,0,1,1,4,4
TNP-00532,Nadia Chaabane,Democratic Bloc,11,6,4,1,7,1
TNP-00533,Nabila Askri Snoussi,Ennahdha,98,14,82,8,70,0
TNP-00534,Nabiha Torjmane,Ennahdha,86,9,64,1,73,5
TNP-00535,Najla Bourial,Democratic Alliance,15,11,17,13,11,7
TNP-00536,Nejib Mrad,Ennahdha,97,13,0,0,21,6
TNP-00537,Nejiba Beryoul,Ennahdha,97,14,64,4,77,6
TNP-00539,Noômane Fehri,Democratic Bloc,1,1,1,1,1,1
TNP-00540,Noureddine Mrabti,Democratic Transition,10,10,7,7,1,1
TNP-00541,Naoufel Ghribi,CPR,0,0,3,3,0,0
TNP-00542,Hajer Mnifi,Ennahdha,88,9,59,1,0,0
TNP-00543,Hajer Azaiez,Ennahdha,71,5,34,0,61,1
TNP-00544,Hela Hammi,Ennahdha,94,12,52,2,70,3
TNP-00545,Hichem Ben Jemaa,CPR,28,23,2,2,16,15
TNP-00546,Haythem Belgacem,CPR,25,23,6,5,3,1
TNP-00547,Wissem Yassine,No bloc,93,88,6,3,5,2
TNP-00548,Kamel Ben Romdhane,Ennahdha,98,14,11,0,64,2
TNP-00549,Soulef Ksantini,Ennahdha,98,15,10,1,23,0
TNP-00550,Souhir Dardouri,Democratic Transition,2,2,2,2,2,2
TNP-00551,Mokhtar Lamouchi,Ennahdha,89,8,54,3,47,1
TNP-00552,Habib Bribech,Ennahdha,94,11,1,0,16,1
TNP-00553,Bechir Nefzi,CPR,2,0,3,1,6,4
TNP-00554,Noura Ben Hassen,CPR,5,0,1,0,2,0
TNP-00555,Jamal Bouajaja,Ennahdha,97,13,38,1,75,8
TNP-00556,Frej Ben Amor,Ennahdha,96,12,67,3,68,7
TNP-00557,Khalid Belhaj,No bloc,98,92,55,51,14,10
TNP-00558,Nafissa Marzouki,Ettakatol,5,3,2,1,2,2
TNP-00559,Warda Turki,Ennahdha,84,7,55,0,61,1
[window: before],"94 contested divisions, 94 drawn",mean within 0.9298 / cross 0.6716,3583,1209,,,,
[window: after],"417 contested divisions, 94 drawn",mean within 0.8788 / cross 0.6787,,,2100,453,,
[window: after_later],"360 contested divisions, 94 drawn",mean within 0.8732 / cross 0.6580,,,,,2179,363
